Date,USA IMI/INDUSTRIALS
1/21/1997,387.5815915
1/22/1997,388.7729926
1/23/1997,385.1163814
1/24/1997,380.9988582
1/27/1997,378.9329075
1/28/1997,377.9761012
1/29/1997,381.0634957
1/30/1997,385.142673
1/31/1997,384.1462208
2/3/1997,385.0371579
2/4/1997,383.5403108
2/5/1997,380.1518839
2/6/1997,381.7935215
2/7/1997,385.2474104
2/10/1997,382.5777774
2/11/1997,383.3730346
2/12/1997,388.0011151
2/13/1997,390.6149836
2/14/1997,389.4501035
2/17/1997,389.4501035
2/18/1997,392.5402047
2/19/1997,390.8813452
2/20/1997,386.5839239
2/21/1997,386.3055475
2/24/1997,388.6713402
2/25/1997,388.6988429
2/26/1997,387.3967847
2/27/1997,383.7798322
2/28/1997,381.5955842
3/3/1997,383.6170607
3/4/1997,381.737256
3/5/1997,387.206317
3/6/1997,388.569006
3/7/1997,391.7466754
3/10/1997,393.8046422
3/11/1997,393.4826215
3/12/1997,391.6010886
3/13/1997,386.5766649
3/14/1997,387.0591389
3/17/1997,388.8575933
3/18/1997,385.5406272
3/19/1997,383.5532492
3/20/1997,383.5478353
3/21/1997,383.9383356
3/24/1997,387.0010528
3/25/1997,385.051581
3/26/1997,383.9788106
3/27/1997,376.6826729
3/28/1997,376.6826729
3/31/1997,370.7227588
4/1/1997,369.6572648
4/2/1997,366.7453391
4/3/1997,365.697511
4/4/1997,371.5129281
4/7/1997,373.545888
4/8/1997,374.56543
4/9/1997,374.4268287
4/10/1997,374.0861379
4/11/1997,365.5497693
4/14/1997,366.7556348
4/15/1997,372.6898318
4/16/1997,377.0451931
4/17/1997,376.1353034
4/18/1997,378.0781499
4/21/1997,374.4366298
4/22/1997,381.2006104
4/23/1997,382.4238977
4/24/1997,380.0546214
4/25/1997,377.1347879
4/28/1997,377.8577395
4/29/1997,384.0659313
4/30/1997,387.3753946
5/1/1997,388.1797692
5/2/1997,396.7390402
5/5/1997,405.1313557
5/6/1997,404.2103607
5/7/1997,400.4722867
5/8/1997,402.1164607
5/9/1997,403.215536
5/12/1997,408.7723006
5/13/1997,410.2647986
5/14/1997,411.180047
5/15/1997,414.0764273
5/16/1997,410.060948
5/19/1997,410.6950597
5/20/1997,414.9823716
5/21/1997,414.8967525
5/22/1997,413.5574771
5/23/1997,417.6819018
5/26/1997,417.6819018
5/27/1997,417.6330568
5/28/1997,418.1597176
5/29/1997,419.9316444
5/30/1997,420.1833946
6/2/1997,420.2413131
6/3/1997,420.7430528
6/4/1997,420.5881753
6/5/1997,421.8483821
6/6/1997,428.2850363
6/9/1997,429.9891233
6/10/1997,432.0949784
6/11/1997,432.5993067
6/12/1997,439.1272221
6/13/1997,443.4557286
6/16/1997,443.5790738
6/17/1997,443.6336146
6/18/1997,443.6027084
6/19/1997,446.7504586
6/20/1997,447.9093968
6/23/1997,439.9843258
6/24/1997,445.3053078
6/25/1997,442.425825
6/26/1997,440.238373
6/27/1997,443.2269719
6/30/1997,442.5071528
7/1/1997,445.4972701
7/2/1997,450.8813025
7/3/1997,455.6095966
7/4/1997,455.6095966
7/7/1997,456.0967452
7/8/1997,458.0205975
7/9/1997,454.3429676
7/10/1997,457.2622093
7/11/1997,461.1696313
7/14/1997,462.0845116
7/15/1997,466.4843626
7/16/1997,472.5619997
7/17/1997,468.2661322
7/18/1997,461.6786909
7/21/1997,459.4596061
7/22/1997,467.239436
7/23/1997,469.306648
7/24/1997,469.4383424
7/25/1997,469.2220447
7/28/1997,467.7805387
7/29/1997,469.1614295
7/30/1997,472.0545129
7/31/1997,471.1071382
8/1/1997,467.9061947
8/4/1997,468.2350798
8/5/1997,469.0816814
8/6/1997,473.3298235
8/7/1997,471.4137758
8/8/1997,463.6312722
8/11/1997,465.7064177
8/12/1997,460.8851714
8/13/1997,461.4951977
8/14/1997,461.2083762
8/15/1997,450.2899463
8/18/1997,453.7447566
8/19/1997,458.5350256
8/20/1997,463.6475043
8/21/1997,458.4602656
8/22/1997,456.4746454
8/25/1997,456.2691755
8/26/1997,453.58747
8/27/1997,453.1157092
8/28/1997,450.5422378
8/29/1997,449.4711921
9/1/1997,449.4711921
9/2/1997,460.925494
9/3/1997,464.1932316
9/4/1997,463.7924726
9/5/1997,462.2510288
9/8/1997,464.3366442
9/9/1997,463.4934373
9/10/1997,458.1709873
9/11/1997,454.4310249
9/12/1997,460.1647422
9/15/1997,459.1314491
9/16/1997,467.6770673
9/17/1997,470.023225
9/18/1997,472.6703069
9/19/1997,473.2000137
9/22/1997,473.8454008
9/23/1997,471.8637496
9/24/1997,468.321529
9/25/1997,464.3772948
9/26/1997,468.6236455
9/29/1997,472.0367796
9/30/1997,471.6873535
10/1/1997,474.4430022
10/2/1997,475.9939688
10/3/1997,474.7059811
10/6/1997,478.8776531
10/7/1997,484.4804242
10/8/1997,480.0604004
10/9/1997,479.9284677
10/10/1997,477.2162785
10/13/1997,477.635094
10/14/1997,479.9093609
10/15/1997,478.7917072
10/16/1997,475.2657419
10/17/1997,470.2708507
10/20/1997,475.8223356
10/21/1997,481.2928309
10/22/1997,477.9407589
10/23/1997,466.7763734
10/24/1997,461.4751702
10/27/1997,431.6345823
10/28/1997,447.8597986
10/29/1997,447.2177152
10/30/1997,439.30383
10/31/1997,443.7785039
11/3/1997,452.7040095
11/4/1997,455.8028872
11/5/1997,457.3576963
11/6/1997,455.8958612
11/7/1997,448.9303543
11/10/1997,447.968636
11/11/1997,447.8812396
11/12/1997,439.0310129
11/13/1997,443.3579884
11/14/1997,448.0669242
11/17/1997,455.5840103
11/18/1997,450.4409258
11/19/1997,452.6598422
11/20/1997,458.9223971
11/21/1997,460.7287564
11/24/1997,454.8304944
11/25/1997,457.2515889
11/26/1997,460.2164175
11/27/1997,460.2164175
11/28/1997,462.8561772
12/1/1997,469.53603
12/2/1997,469.469129
12/3/1997,468.1505177
12/4/1997,467.3552665
12/5/1997,471.4173297
12/8/1997,472.3717754
12/9/1997,471.8371021
12/10/1997,467.1119322
12/11/1997,460.0703495
12/12/1997,459.8544339
12/15/1997,463.3864565
12/16/1997,466.1881824
12/17/1997,465.3470837
12/18/1997,459.8267927
12/19/1997,454.6966182
12/22/1997,456.990911
12/23/1997,451.4495072
12/24/1997,450.2102022
12/25/1997,450.2102022
12/26/1997,449.8439993
12/29/1997,456.4095886
12/30/1997,466.1485146
12/31/1997,468.1975818
1/1/1998,468.1975818
1/2/1998,468.9123514
1/5/1998,471.5438033
