Date,USA IMI/UTILITIES
3/5/1998,456.6081152
3/6/1998,460.1239031
3/9/1998,462.4146041
3/10/1998,467.3833258
3/11/1998,467.6856319
3/12/1998,467.4388505
3/13/1998,467.3540155
3/16/1998,470.3712878
3/17/1998,472.7343904
3/18/1998,476.3410059
3/19/1998,477.7794211
3/20/1998,484.5854916
3/23/1998,486.027813
3/24/1998,488.0472842
3/25/1998,487.3230438
3/26/1998,483.6685435
3/27/1998,480.4767887
3/30/1998,480.2993723
3/31/1998,486.9459423
4/1/1998,487.3706877
4/2/1998,493.0215978
4/3/1998,491.2092371
4/6/1998,488.3937772
4/7/1998,486.021386
4/8/1998,483.4913938
4/9/1998,485.5268071
4/10/1998,485.5268071
4/13/1998,481.5345233
4/14/1998,485.2676367
4/15/1998,484.7775262
4/16/1998,481.177194
4/17/1998,484.9820634
4/20/1998,481.1873836
4/21/1998,479.8943029
4/22/1998,477.6690103
4/23/1998,471.7134137
4/24/1998,469.2778483
4/27/1998,463.7557995
4/28/1998,465.7114193
4/29/1998,467.4816024
4/30/1998,476.0880743
5/1/1998,475.1603065
5/4/1998,475.1650476
5/5/1998,474.39021
5/6/1998,471.4937749
5/7/1998,469.9315941
5/8/1998,472.4378282
5/11/1998,471.7681086
5/12/1998,472.4566546
5/13/1998,469.419932
5/14/1998,466.7329133
5/15/1998,465.8069781
5/18/1998,464.8943595
5/19/1998,463.3281857
5/20/1998,465.2212609
5/21/1998,464.1372339
5/22/1998,462.6912621
5/25/1998,462.6912621
5/26/1998,458.938981
5/27/1998,457.8330919
5/28/1998,463.3614311
5/29/1998,469.8667559
6/1/1998,480.1807627
6/2/1998,478.9019923
6/3/1998,480.3023346
6/4/1998,479.2760201
6/5/1998,482.2048639
6/8/1998,481.7548541
6/9/1998,481.5738301
6/10/1998,485.0191432
6/11/1998,486.3452475
6/12/1998,485.9399084
6/15/1998,481.7979523
6/16/1998,481.4323389
6/17/1998,481.7190793
6/18/1998,481.6246644
6/19/1998,478.9889439
6/22/1998,478.8057206
6/23/1998,480.2934148
6/24/1998,479.9917093
6/25/1998,475.2026873
6/26/1998,478.1067926
6/29/1998,485.1313457
6/30/1998,485.5030898
7/1/1998,488.357536
7/2/1998,488.0600155
7/3/1998,488.0600155
7/6/1998,488.5266719
7/7/1998,484.912859
7/8/1998,484.5580021
7/9/1998,482.6001532
7/10/1998,481.739533
7/13/1998,479.5386212
7/14/1998,480.0119357
7/15/1998,479.6407279
