Date,USA IMI/INFORMATION TECH
3/28/1997,528.5631062
3/31/1997,517.4236559
4/1/1997,513.7670608
4/2/1997,505.7052048
4/3/1997,515.2292776
4/4/1997,530.7565279
4/7/1997,537.6329883
4/8/1997,543.0177565
4/9/1997,534.616625
4/10/1997,524.528476
4/11/1997,511.6118697
4/14/1997,519.6862259
4/15/1997,516.2191195
4/16/1997,514.9909164
4/17/1997,518.5218412
4/18/1997,519.9100696
4/21/1997,511.5375103
4/22/1997,519.2062154
4/23/1997,530.8687494
4/24/1997,536.0983851
4/25/1997,521.7893241
4/28/1997,526.5632205
4/29/1997,545.9699566
4/30/1997,557.072824
5/1/1997,563.0382278
5/2/1997,580.6540958
5/5/1997,597.4699542
5/6/1997,587.2437802
5/7/1997,584.812999
5/8/1997,590.75319
5/9/1997,593.9211768
5/12/1997,599.843489
5/13/1997,591.5325685
5/14/1997,591.8059608
5/15/1997,603.1038439
5/16/1997,589.7087436
5/19/1997,587.6080269
5/20/1997,602.6920119
5/21/1997,609.6528102
5/22/1997,605.185042
5/23/1997,614.4660242
5/26/1997,614.4660242
5/27/1997,630.3492774
5/28/1997,632.6374257
5/29/1997,622.4273274
5/30/1997,616.1842526
6/2/1997,620.7972329
6/3/1997,600.4793919
6/4/1997,595.3423782
6/5/1997,598.9936608
6/6/1997,609.7079798
6/9/1997,616.3270972
6/10/1997,606.4975634
6/11/1997,608.6292541
6/12/1997,609.948377
6/13/1997,618.7552676
6/16/1997,625.2212433
6/17/1997,635.8929796
6/18/1997,626.4212862
6/19/1997,631.2490721
6/20/1997,631.7705847
6/23/1997,623.3657028
6/24/1997,634.803265
6/25/1997,632.0281635
6/26/1997,623.9887412
6/27/1997,624.2435032
6/30/1997,624.8670475
7/1/1997,624.558111
7/2/1997,636.4276021
7/3/1997,644.5206042
7/4/1997,644.5206042
7/7/1997,647.6365024
7/8/1997,659.4234748
7/9/1997,666.0821891
7/10/1997,665.5787421
7/11/1997,675.7563251
7/14/1997,692.3624055
7/15/1997,706.2917475
7/16/1997,729.634866
7/17/1997,722.705393
7/18/1997,709.295193
7/21/1997,699.9632673
7/22/1997,717.9080325
7/23/1997,723.1924235
7/24/1997,723.6061146
7/25/1997,719.2571087
7/28/1997,712.5251539
7/29/1997,713.9108802
7/30/1997,726.5849937
7/31/1997,731.9488973
8/1/1997,734.190973
8/4/1997,743.7897584
8/5/1997,756.0915037
8/6/1997,758.6086561
8/7/1997,756.2245539
8/8/1997,740.8341374
8/11/1997,730.3603145
8/12/1997,724.9304734
8/13/1997,728.4202583
8/14/1997,733.265975
8/15/1997,715.5601554
8/18/1997,723.1102035
8/19/1997,743.7858718
8/20/1997,757.1009711
8/21/1997,744.7537483
8/22/1997,741.3831461
8/25/1997,741.484277
8/26/1997,732.5635913
8/27/1997,731.8611331
8/28/1997,720.2566076
8/29/1997,722.3459345
9/1/1997,722.3459345
9/2/1997,741.5458845
9/3/1997,739.4385251
9/4/1997,742.9697487
9/5/1997,748.1589102
9/8/1997,748.3323873
9/9/1997,749.5430465
9/10/1997,735.0718264
9/11/1997,733.8690075
9/12/1997,735.4970231
9/15/1997,720.6893233
9/16/1997,743.163351
9/17/1997,740.372113
9/18/1997,740.2906851
9/19/1997,748.1904075
9/22/1997,757.7242272
9/23/1997,761.4805664
9/24/1997,750.3061082
9/25/1997,745.0135254
9/26/1997,745.3320347
9/29/1997,755.3777493
9/30/1997,746.0994189
10/1/1997,742.9543417
10/2/1997,750.2364676
10/3/1997,756.2876349
10/6/1997,756.2322169
10/7/1997,766.4849664
10/8/1997,768.9688555
10/9/1997,769.8906087
10/10/1997,766.6285814
