Date,USA IMI/MATERIALS
6/12/1997,459.498689
6/13/1997,459.0197984
6/16/1997,458.6716375
6/17/1997,457.6803575
6/18/1997,456.6313427
6/19/1997,462.3304044
6/20/1997,460.8490117
6/23/1997,451.2990817
6/24/1997,460.3654543
6/25/1997,456.7439668
6/26/1997,456.2173556
6/27/1997,457.6791553
6/30/1997,459.5127623
7/1/1997,461.6465643
7/2/1997,463.9864611
7/3/1997,466.255002
7/4/1997,466.255002
7/7/1997,465.8499965
7/8/1997,475.7384632
7/9/1997,471.2975868
7/10/1997,477.2310197
7/11/1997,476.8847888
7/14/1997,475.81101
7/15/1997,475.754616
7/16/1997,482.1117848
7/17/1997,485.4135162
7/18/1997,477.7752181
7/21/1997,475.4118969
7/22/1997,485.1223106
7/23/1997,488.541181
7/24/1997,486.824737
7/25/1997,485.306034
7/28/1997,487.9810885
7/29/1997,488.9791875
7/30/1997,495.4243562
7/31/1997,495.476574
8/1/1997,494.667042
8/4/1997,494.7909867
8/5/1997,497.2497976
8/6/1997,501.7501578
8/7/1997,500.4279988
8/8/1997,493.8109811
8/11/1997,496.4549083
8/12/1997,493.677972
8/13/1997,490.9140281
8/14/1997,489.5719982
8/15/1997,480.6028711
8/18/1997,483.1010514
8/19/1997,487.4560579
8/20/1997,494.7453174
8/21/1997,488.9710828
8/22/1997,486.8368955
8/25/1997,488.2347465
8/26/1997,487.4260924
8/27/1997,486.3421439
8/28/1997,484.495833
8/29/1997,481.4232551
9/1/1997,481.4232551
9/2/1997,490.2001082
9/3/1997,488.4656804
9/4/1997,488.0403585
9/5/1997,486.5260253
9/8/1997,484.6837103
9/9/1997,488.1946257
9/10/1997,485.1554783
9/11/1997,480.194353
9/12/1997,482.2571294
9/15/1997,481.7539871
9/16/1997,486.2730376
9/17/1997,491.7978229
9/18/1997,497.6008651
9/19/1997,491.49493
9/22/1997,488.7601261
9/23/1997,487.860407
9/24/1997,485.6481815
9/25/1997,486.4339542
9/26/1997,488.2151979
9/29/1997,489.0025112
9/30/1997,487.7185505
10/1/1997,489.1429555
10/2/1997,491.0781986
10/3/1997,487.6442897
10/6/1997,488.0426853
10/7/1997,489.8407216
10/8/1997,487.3961763
10/9/1997,486.8344834
10/10/1997,487.9824767
10/13/1997,488.5108033
10/14/1997,484.6362105
10/15/1997,484.8182727
10/16/1997,481.4264466
10/17/1997,478.110339
10/20/1997,478.9814475
10/21/1997,486.7441163
10/22/1997,488.9138777
10/23/1997,481.5211755
10/24/1997,474.4869656
10/27/1997,441.8758635
10/28/1997,451.7037112
10/29/1997,453.5079829
10/30/1997,449.1575984
10/31/1997,450.0760935
11/3/1997,462.3884011
11/4/1997,457.2463939
11/5/1997,458.8290893
11/6/1997,460.2620387
11/7/1997,453.7810636
11/10/1997,453.5206582
11/11/1997,456.109486
11/12/1997,448.2162489
11/13/1997,446.0849886
11/14/1997,449.7033914
11/17/1997,455.9815309
11/18/1997,456.5510787
11/19/1997,456.6465442
11/20/1997,460.5483994
11/21/1997,462.5364752
11/24/1997,455.3615572
11/25/1997,455.7576908
11/26/1997,454.3216954
11/27/1997,454.3216954
11/28/1997,456.0203484
12/1/1997,459.2268057
12/2/1997,461.9025118
12/3/1997,461.5099765
12/4/1997,458.2789352
12/5/1997,460.6210612
12/8/1997,460.5741841
12/9/1997,457.223389
12/10/1997,452.5860255
12/11/1997,447.0554711
12/12/1997,442.1158759
12/15/1997,444.570576
12/16/1997,447.5460225
12/17/1997,449.7827768
12/18/1997,441.7325927
12/19/1997,434.4314797
12/22/1997,436.4114454
12/23/1997,435.5616888
12/24/1997,436.8930965
12/25/1997,436.8930965
12/26/1997,437.6472433
12/29/1997,442.285932
12/30/1997,450.5926337
12/31/1997,451.3276393
1/1/1998,451.3276393
1/2/1998,454.890253
1/5/1998,453.0849191
1/6/1998,448.6093788
1/7/1998,444.5004195
1/8/1998,438.4049356
1/9/1998,423.212533
1/12/1998,423.3954647
1/13/1998,425.5359251
1/14/1998,430.0995784
1/15/1998,427.160274
1/16/1998,434.92693
1/19/1998,434.92693
1/20/1998,440.987781
1/21/1998,439.8631585
1/22/1998,436.9282966
1/23/1998,437.0973342
1/26/1998,440.4038771
1/27/1998,440.1695171
1/28/1998,449.8681911
1/29/1998,452.5469036
1/30/1998,449.0191987
2/2/1998,462.262094
2/3/1998,464.8118781
2/4/1998,463.9851745
2/5/1998,464.2159477
2/6/1998,466.2665405
2/9/1998,467.2157752
2/10/1998,472.6052089
2/11/1998,471.7327561
2/12/1998,471.3980316
2/13/1998,469.9057724
2/16/1998,469.9057724
2/17/1998,470.2144506
2/18/1998,471.0329048
2/19/1998,467.5685738
2/20/1998,468.4824669
2/23/1998,465.5270553
2/24/1998,462.3493377
2/25/1998,466.3451356
2/26/1998,473.9999675
2/27/1998,475.0754053
3/2/1998,480.011474
3/3/1998,480.7294774
3/4/1998,478.9443752
3/5/1998,475.1025784
3/6/1998,481.723022
3/9/1998,483.5744255
3/10/1998,489.291009
3/11/1998,490.7604077
3/12/1998,488.3147307
3/13/1998,485.6795384
3/16/1998,490.3313268
3/17/1998,493.3734783
3/18/1998,494.3625792
3/19/1998,498.8686894
3/20/1998,500.6114632
3/23/1998,500.8787298
3/24/1998,503.2675021
3/25/1998,503.0297707
3/26/1998,503.9006657
3/27/1998,502.984031
3/30/1998,501.5607505
3/31/1998,500.9941835
4/1/1998,503.0271919
4/2/1998,508.1397033
4/3/1998,508.0889766
4/6/1998,503.4974312
4/7/1998,508.5745948
4/8/1998,507.407457
4/9/1998,512.5485587
4/10/1998,512.5485587
4/13/1998,517.3459522
4/14/1998,529.9382954
4/15/1998,531.6006314
4/16/1998,525.842703
4/17/1998,531.3032867
4/20/1998,527.2019303
4/21/1998,530.6288493
4/22/1998,530.3794929
4/23/1998,528.0152419
4/24/1998,521.109883
4/27/1998,511.4253354
4/28/1998,510.4818983
4/29/1998,512.0390844
4/30/1998,517.7263164
5/1/1998,522.6551269
5/4/1998,526.101996
5/5/1998,524.8179243
5/6/1998,520.3072793
5/7/1998,513.3839141
5/8/1998,516.5765248
5/11/1998,527.5923983
5/12/1998,530.0122372
5/13/1998,532.9191431
5/14/1998,532.9588538
5/15/1998,527.7273509
5/18/1998,521.6106078
5/19/1998,523.2149692
5/20/1998,526.0852233
5/21/1998,523.3185932
5/22/1998,522.6768357
5/25/1998,522.6768357
5/26/1998,510.5861844
5/27/1998,507.4404897
5/28/1998,506.2338711
5/29/1998,501.0490648
6/1/1998,497.4825689
6/2/1998,497.1334942
6/3/1998,497.407632
6/4/1998,499.3771986
6/5/1998,506.4320966
6/8/1998,509.0100734
6/9/1998,504.6827762
6/10/1998,497.3112813
6/11/1998,487.4745151
6/12/1998,484.021009
6/15/1998,471.5552337
6/16/1998,476.4897171
6/17/1998,483.1756023
6/18/1998,481.4886639
6/19/1998,475.7336346
6/22/1998,472.3063409
6/23/1998,474.5844079
6/24/1998,478.0571928
6/25/1998,475.6733376
6/26/1998,478.6648377
6/29/1998,476.6180816
6/30/1998,480.0582945
7/1/1998,484.9285182
7/2/1998,482.5646755
7/3/1998,482.5646755
7/6/1998,485.020825
7/7/1998,481.5682186
7/8/1998,482.3665146
7/9/1998,468.3316554
7/10/1998,462.8222863
7/13/1998,462.7214369
7/14/1998,467.144989
7/15/1998,466.5992823
7/16/1998,473.3458076
